,image_name_1,image_name_2,min_neighbours,scale_factor,detected_faces_image_1,faces_image_1,detected_faces_image_2,faces_image_2
0,0_0_1.jpg,0_0_2.jpg,3,1.3000000000000003,4,4,4,6
1,0_1_1.jpg,0_1_2.jpg,3,1.3800000000000003,2,4,3,6
2,0_2_1.jpg,0_2_2.jpg,3,1.5600000000000005,3,4,3,6
3,0_3_1.jpg,0_3_2.jpg,3,1.7200000000000006,2,4,2,6
4,0_4_1.jpg,0_4_2.jpg,3,1.8100000000000007,0,4,3,6
5,0_5_1.jpg,0_5_2.jpg,3,2.5200000000000014,3,4,4,6
6,0_6_1.jpg,0_6_2.jpg,3,2.530000000000001,3,4,4,6
7,0_7_1.jpg,0_7_2.jpg,3,2.5400000000000014,2,4,3,6
8,0_8_1.jpg,0_8_2.jpg,3,2.8500000000000014,2,4,4,6
9,0_9_1.jpg,0_9_2.jpg,3,2.9600000000000017,2,4,1,6
10,1_0_1.jpg,1_0_2.jpg,5,1.3000000000000003,3,4,4,6
11,1_1_1.jpg,1_1_2.jpg,5,1.3800000000000003,2,4,3,6
12,1_2_1.jpg,1_2_2.jpg,5,1.5600000000000005,2,4,3,6
13,1_3_1.jpg,1_3_2.jpg,5,1.7200000000000006,2,4,1,6
14,1_4_1.jpg,1_4_2.jpg,5,1.8100000000000007,0,4,3,6
15,1_5_1.jpg,1_5_2.jpg,5,2.5200000000000014,3,4,3,6
16,1_6_1.jpg,1_6_2.jpg,5,2.530000000000001,3,4,3,6
17,1_7_1.jpg,1_7_2.jpg,5,2.5400000000000014,2,4,3,6
18,1_8_1.jpg,1_8_2.jpg,5,2.8500000000000014,1,4,4,6
19,1_9_1.jpg,1_9_2.jpg,5,2.9600000000000017,2,4,0,6
20,2_0_1.jpg,2_0_2.jpg,6,1.3000000000000003,3,4,4,6
21,2_1_1.jpg,2_1_2.jpg,6,1.3800000000000003,2,4,3,6
22,2_2_1.jpg,2_2_2.jpg,6,1.5600000000000005,2,4,3,6
23,2_3_1.jpg,2_3_2.jpg,6,1.7200000000000006,2,4,0,6
24,2_4_1.jpg,2_4_2.jpg,6,1.8100000000000007,0,4,3,6
25,2_5_1.jpg,2_5_2.jpg,6,2.5200000000000014,2,4,3,6
26,2_6_1.jpg,2_6_2.jpg,6,2.530000000000001,2,4,3,6
27,2_7_1.jpg,2_7_2.jpg,6,2.5400000000000014,2,4,3,6
28,2_8_1.jpg,2_8_2.jpg,6,2.8500000000000014,1,4,3,6
29,2_9_1.jpg,2_9_2.jpg,6,2.9600000000000017,2,4,0,6
30,3_0_1.jpg,3_0_2.jpg,8,1.3000000000000003,2,4,3,6
31,3_1_1.jpg,3_1_2.jpg,8,1.3800000000000003,2,4,3,6
32,3_2_1.jpg,3_2_2.jpg,8,1.5600000000000005,1,4,2,6
33,3_3_1.jpg,3_3_2.jpg,8,1.7200000000000006,0,4,0,6
34,3_4_1.jpg,3_4_2.jpg,8,1.8100000000000007,0,4,3,6
35,3_5_1.jpg,3_5_2.jpg,8,2.5200000000000014,2,4,3,6
36,3_6_1.jpg,3_6_2.jpg,8,2.530000000000001,1,4,2,6
37,3_7_1.jpg,3_7_2.jpg,8,2.5400000000000014,1,4,2,6
38,3_8_1.jpg,3_8_2.jpg,8,2.8500000000000014,1,4,2,6
39,3_9_1.jpg,3_9_2.jpg,8,2.9600000000000017,0,4,0,6
40,4_0_1.jpg,4_0_2.jpg,9,1.3000000000000003,2,4,3,6
41,4_1_1.jpg,4_1_2.jpg,9,1.3800000000000003,2,4,2,6
42,4_2_1.jpg,4_2_2.jpg,9,1.5600000000000005,1,4,1,6
43,4_3_1.jpg,4_3_2.jpg,9,1.7200000000000006,0,4,0,6
44,4_4_1.jpg,4_4_2.jpg,9,1.8100000000000007,0,4,2,6
45,4_5_1.jpg,4_5_2.jpg,9,2.5200000000000014,2,4,3,6
46,4_6_1.jpg,4_6_2.jpg,9,2.530000000000001,1,4,2,6
47,4_7_1.jpg,4_7_2.jpg,9,2.5400000000000014,1,4,2,6
48,4_8_1.jpg,4_8_2.jpg,9,2.8500000000000014,1,4,0,6
49,4_9_1.jpg,4_9_2.jpg,9,2.9600000000000017,0,4,0,6
