experiment,correct,incorrect,unrecognized,total,avg_confidence,max_confidence,min_confidence,sum_confidence_correct,num_components,threshold
39,2,2,0,4,791.4988683836959,1549.1098713450372,369.4843606681272,1247.4012415216193,707,40885
40,2,2,0,4,656.8730492688687,955.1867443994332,497.2936023799861,1149.424488118562,572,80363
41,2,2,0,4,990.624212873072,1567.309154220046,718.7159356650318,2286.0250898850777,661,35527
42,2,2,0,4,561.0781763267084,1114.85271363611,273.5368295006674,729.1343198256377,194,97723
43,2,2,0,4,803.8277149109833,1705.222695768885,304.85373309038624,2010.0764288592711,920,70355
44,0,0,4,4,inf,1.7976931348623157e+308,1.7976931348623157e+308,0.0,456,274
45,2,2,0,4,812.5678031151929,1189.4351098557793,464.4466765731832,1653.8817864289624,516,76958
46,2,2,0,4,553.7052563347157,1103.840876505186,90.87812732123156,585.6614581236297,597,89340
47,2,2,0,4,880.8718757521482,1254.2780619234784,463.2207024363711,1524.176327356311,69,37394
48,2,2,0,4,870.8920201020908,930.262391256936,719.5288154809583,1852.7429210864184,218,50412
49,2,2,0,4,805.0431113559338,1444.744942106355,352.6402971268047,2015.4031480168164,737,69432
50,0,0,4,4,inf,1.7976931348623157e+308,1.7976931348623157e+308,0.0,77,155
51,2,2,0,4,1073.5675741044888,1565.30499128232,802.4948242105846,2367.7998154929046,26,22495
52,2,2,0,4,762.1054221033507,1095.321191774914,521.9283231033116,1126.7134887935695,654,14017
53,2,2,0,4,677.6601612641648,1363.5106399248727,318.45915714681104,932.4279666468042,727,69429
54,2,2,0,4,920.8981199756068,1318.332173110697,615.352191676207,1698.8813331612525,350,25011
55,2,2,0,4,993.1049318860656,1603.2087689963053,290.51927421706245,1845.6350366865645,938,62719
56,2,2,0,4,720.0481791839584,1240.5272494646758,362.81677034414673,1664.5900951554793,968,53527
57,2,2,0,4,758.8171023472298,1163.359643343997,294.3609381197187,1457.7205814637157,456,82738
58,2,2,0,4,896.943343502996,1604.869168500505,474.7021646016898,1143.9946931198062,290,4242
59,1,0,3,4,inf,1.7976931348623157e+308,454.1611741056189,454.1611741056189,503,532
60,2,2,0,4,791.3372932149589,1747.8990672181928,308.6589081806944,2168.928317572061,362,35827
61,2,2,0,4,758.4581018827066,1369.8067222479872,437.2690100463477,2004.0903162777315,182,85322
62,2,2,0,4,671.6979832399999,1021.8657393015136,299.16554554136417,1391.0520510999584,490,3020
63,2,2,0,4,618.5266050071871,1049.0594587693363,278.7941105578197,802.7280083327439,137,80893
64,2,2,0,4,800.5379620799861,1061.80312100089,285.75201465125355,2028.238816430637,796,12966
65,2,2,0,4,691.9454283097843,1073.5679931127202,196.40173518462063,1508.994715768664,166,90986
66,2,2,0,4,667.0982195392121,954.7685330862728,283.39064297045104,1430.2337021001244,752,90011
67,2,2,0,4,681.8487587989284,1381.180534918847,162.2516928970624,763.8737152784495,134,18100
68,2,2,0,4,732.8922623726462,982.4320291029744,527.5974321461991,1096.8560769675653,703,79631
69,2,2,0,4,616.5526838539462,1019.2221731438584,197.44288693480223,1249.5456753371238,45,38005
