experiment,correct,incorrect,unrecognized,total,avg_confidence,max_confidence,min_confidence,sum_confidence_correct,num_components,threshold
77,1,3,0,4,291.63818823999765,346.46759071380865,256.3510318407805,256.3510318407805,188,3436
78,2,2,0,4,542.0757017335134,1057.4524317912364,185.9737836454296,628.8300788973061,372,39703
79,2,2,0,4,516.9601050302002,1079.9668159226123,140.71685456703685,1547.679967637702,878,5521
80,2,2,0,4,569.9910685636619,1048.5559123641003,196.39372911394264,1753.3878523304027,371,77017
81,1,3,0,4,376.05232663596996,830.7089090700474,124.32075020443142,124.32075020443142,665,71361
82,2,2,0,4,784.6846875342436,956.9962618615536,648.7306945832979,1443.0079326446048,331,68370
83,2,2,0,4,544.9157571214121,886.5788646336854,200.02503384508933,1207.0333424768535,165,41443
84,2,2,0,4,489.99684980136857,1185.5543454702586,132.3843707120477,405.6370664647848,865,40708
85,2,2,0,4,622.1863259437523,1240.5103079813423,207.99280861015544,1040.2421871835118,902,50097
86,2,2,0,4,763.4178942826638,1677.102699806772,168.85752328925153,1845.9602230960236,626,4934
87,2,2,0,4,481.43574334313024,753.3026958685484,328.1633441979629,1191.9782761745644,510,42460
88,1,3,0,4,802.0355698144781,1470.987162143263,245.89686716086536,904.0149293861384,315,55780
89,2,2,0,4,372.7278053852841,661.495012612584,238.2095950566989,527.7075524707151,372,13560
90,2,2,0,4,553.4549532040918,1190.038377200491,276.1682139706214,1491.6271643498462,470,92750
91,2,2,0,4,445.30772536197503,674.1415839204815,162.7441247445574,628.0339699170277,938,4061
92,2,2,0,4,1024.845338193365,1446.6469912190785,532.9700896139422,2798.924767993466,768,59636
93,2,2,0,4,632.712718191686,832.7304541168867,349.7194808635644,1389.3912293365252,454,24086
94,2,2,0,4,654.6946916927152,1036.9464944332374,323.69280305596,1258.1394692816639,834,48391
95,2,2,0,4,606.4752344660228,983.6967725136012,143.6953915209794,1342.2474642376137,858,83289
96,2,2,0,4,854.7271386801107,931.7698820878928,760.8312615171932,1744.303131262142,662,85445
97,2,2,0,4,740.4710665340195,991.2114938424332,511.30954133408005,1558.702382925465,10,15341
98,2,2,0,4,735.5378577254866,1495.9350923756251,136.96043349642022,1632.8955258720453,773,91263
99,2,2,0,4,802.8327073880371,1135.107551278824,548.1392038887216,1424.818149901525,499,83424
100,2,2,0,4,682.6727689242456,927.0425852176644,287.3771886971114,1804.9866431039845,644,44203
101,2,2,0,4,878.5027671071016,947.5049958864035,797.0326390367247,1812.988787585411,117,78893
102,2,2,0,4,882.1856979973619,1309.2389812815686,654.5542947029033,1499.5944321363563,819,11792
103,2,2,0,4,605.4249804984128,979.6880214851084,236.86946364378065,1205.1424368647622,54,55625
104,2,2,0,4,582.8970609358714,1117.6829922179895,151.63050753693216,1269.3134997549216,196,62483
105,2,2,0,4,315.6486639240587,783.1914172019415,57.77961380510657,421.6236246891867,794,2588
106,2,2,0,4,584.6811247722451,1047.3934792919845,339.93142602245706,1595.80645377798,530,4644
107,2,2,0,4,551.262903865487,807.6750541567465,412.46196117228567,975.0322234964374,878,82850
108,1,3,0,4,752.7206083561167,1543.3484367540293,379.3565323122629,410.1858222832314,515,92286
109,2,2,0,4,828.4699711704897,1771.0047766229072,353.843328745996,749.9453979581363,874,78677
110,2,2,0,4,893.4454222088505,1493.4573855392327,183.80587452052305,1896.518428775646,92,35702
111,2,2,0,4,395.91439482852024,687.0209029366421,182.17778348605552,869.1986864226976,686,53481
112,2,2,0,4,1082.8769723043804,1562.541911456816,770.8377988330375,2668.66767376361,113,17269
113,2,2,0,4,759.4880123494155,1153.940409291252,404.5785987240186,1167.3067009585395,754,31327
114,2,2,0,4,475.8542396157914,580.6278173567753,380.01109295123206,942.7780481551583,460,68781
115,1,3,0,4,618.0618692010398,868.6076109018018,200.7459980621908,782.335040676661,377,90137
116,2,2,0,4,876.1765798549682,1412.5597272958844,516.0931987086872,1576.0533934153011,515,28767
117,2,2,0,4,613.6530732999087,720.1117094730554,491.2440663214968,1286.0527284080272,960,41528
118,2,2,0,4,726.3713967851942,1213.009613846193,162.43565224456816,1955.051363929885,696,9161
119,2,2,0,4,768.4898705220187,1346.6527169966769,443.6409931329489,1034.3778455897855,192,59575
120,2,2,0,4,704.1745757701559,935.964803938056,371.0533049615545,1509.6801941810131,126,97837
121,2,2,0,4,603.2536410474225,1163.0131878328857,348.7924674008128,1651.8559143492407,751,29918
122,2,2,0,4,790.2280164076358,1582.167550288395,303.6823752244235,1171.7152601092112,505,78512
123,2,2,0,4,1025.6718768041442,1215.273476020601,685.7364025678053,2201.67762862817,772,31469
124,2,2,0,4,761.7795943244213,1193.8561597745386,145.26901371030974,1707.9932038128366,564,56167
125,2,2,0,4,1026.248712207236,1578.234655254844,220.1898801790936,2502.619001248235,236,53348
126,1,2,1,4,4.4942328371557893e+307,1.7976931348623157e+308,306.5259140148352,600.145861302907,935,690
127,2,2,0,4,643.1821616799147,875.7844802894476,252.20185626747644,1483.5813574596455,222,41210
128,1,3,0,4,697.2244834313545,1133.1977001441514,195.32167161882768,692.9415331117739,521,81289
129,2,2,0,4,730.5386271458731,1158.3463673366646,197.1551805047882,2017.1841670235426,487,80740
130,2,2,0,4,559.8778517560302,761.1057616221126,366.162056954138,1074.8321477489224,105,85608
131,2,2,0,4,606.5125624538066,893.0491209824576,361.8828447498205,908.8962996283708,646,25077
132,2,2,0,4,743.9792107321596,1573.1150031250374,405.9862901732419,2002.3730080537548,978,2972
133,2,2,0,4,959.7869026543841,1349.304025394603,741.694972586351,1671.8195293769013,20,18250
134,2,2,0,4,607.6134798591057,1130.9028601087302,376.832921661371,852.1146976266812,111,1602
