label,true_label,confidence,radius,neighbors,grid,threshold
0,0,7328.064276934409,23,8,45,42897
2,1,7303.910560409106,23,8,45,42897
1,2,7391.176951499376,23,8,45,42897
3,3,7336.289018314402,23,8,45,42897
